Season,GrandPrix,Driver,Team,GridPosition,FinalPosition,Points,MainCompound,PitStops,AvgLapTime,AirTemp,TrackTemp,Rain,Top10,Top5,Top3,Victory
2021,Bahrain Grand Prix,RAI,Alfa Romeo Racing,14.0,11.0,0.0,MEDIUM,3,100.227875,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,GIO,Alfa Romeo Racing,12.0,12.0,0.0,MEDIUM,3,100.53263636363636,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,OCO,Alpine,16.0,13.0,0.0,HARD,3,100.72718181818183,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,RUS,Williams,15.0,14.0,0.0,MEDIUM,3,100.76098181818185,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,VET,Aston Martin,20.0,15.0,0.0,HARD,2,100.95343636363636,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,MSC,Haas F1 Team,18.0,16.0,0.0,MEDIUM,3,101.8309818181818,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,GAS,AlphaTauri,5.0,17.0,0.0,HARD,4,100.1814901960784,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,LAT,Williams,17.0,18.0,0.0,MEDIUM,3,102.55860784313724,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,ALO,Alpine,9.0,19.0,0.0,MEDIUM,3,102.29045161290324,20.53834586466165,27.627819548872186,False,0,0,0,0
2021,Bahrain Grand Prix,MAZ,Haas F1 Team,19.0,20.0,0.0,MEDIUM,1,,20.53834586466165,27.627819548872186,False,0,0,0,0
